min_cluster_size,min_sample,n_dim,validity_index_score,noise,top_10,top_1,n_clusters,total
50,5,2,0.23138549457144064,32391,19178,3504,270,104253
50,3,2,0.23507385104235784,27678,21644,3526,306,104253
50,4,2,0.21152829374716114,29701,21430,4815,297,104253
50,2,2,0.18435952501378325,23949,23638,6606,336,104253
50,1,2,0.15541669443296685,22266,23511,6624,353,104253
60,5,2,0.24055892728174666,31198,21409,4747,225,104253
60,4,2,0.21312357685906447,29372,21541,4815,252,104253
60,3,2,0.24287285661759012,27034,22771,4768,266,104253
60,2,2,0.20366441968564433,25762,20030,4692,299,104253
70,5,2,0.2479841610262661,32668,20141,3504,212,104253
60,1,2,0.16055701272225031,24439,19780,4726,311,104253
70,4,2,0.23508058707463717,29299,22235,3573,219,104253
70,3,2,0.2450117544931467,26032,25407,4105,220,104253
80,5,2,0.25394159192759713,33535,20141,3504,196,104253
70,2,2,0.23455943103970886,25921,20956,4692,257,104253
70,1,2,0.16259139446825494,24750,20815,4726,270,104253
80,3,2,0.2490886265036915,26242,25756,4105,197,104253
90,5,2,0.24514455218116193,34189,20281,3504,181,104253
80,2,2,0.2508342693857561,26869,20879,3520,231,104253
80,1,2,0.1852369655233768,24042,22552,4726,234,104253
100,5,2,0.2551752828408529,33377,22266,3504,165,104253
90,3,2,0.2501645307192017,27114,25756,4105,178,104253
90,2,2,0.24706221051278976,27126,21912,3520,207,104253
90,1,2,0.18411461490260753,25685,21699,3511,215,104253
100,3,2,0.24692921764364684,27721,25853,4105,167,104253
100,2,2,0.2562592857487205,27827,21912,3520,191,104253
100,1,2,0.18541454942104815,26590,22046,3539,197,104253
50,10,2,0.21502184741936944,34636,22778,3610,214,104253
60,10,2,0.22229383124986923,34588,22233,3610,198,104253
70,10,2,0.2197846218308936,35118,22233,3610,183,104253
80,10,2,0.21933170623792303,34960,22843,3610,171,104253
90,10,2,0.22195650357733823,35032,23016,3783,155,104253
100,10,2,0.25905482291504195,34321,25359,3783,137,104253
50,10,2,0.21502184741936944,34636,22778,3610,214,104253
60,10,2,0.22229383124986923,34588,22233,3610,198,104253
70,10,2,0.2197846218308936,35118,22233,3610,183,104253
80,10,2,0.21933170623792303,34960,22843,3610,171,104253
90,10,2,0.22195650357733823,35032,23016,3783,155,104253
100,10,2,0.25905482291504195,34321,25359,3783,137,104253
150,10,2,0.29436106733143347,27618,37480,13403,94,104253
50,2,10,0.24032180216001073,37722,17880,3515,264,104253
50,1,10,0.20650864373802647,36721,18024,3490,291,104253
60,2,10,0.22535279717394124,37117,18579,3515,210,104253
60,1,10,0.19662381483894859,35836,18863,3490,226,104253
70,2,10,0.2119722561821058,36649,19380,3515,191,104253
70,1,10,0.19733513441561362,36056,18863,3490,200,104253
80,2,10,0.21243591391789798,31239,27743,7434,153,104253
80,1,10,0.20741274380319302,30253,28916,7434,159,104253
50,35,2,0.28389771990239604,33128,31645,10858,157,104253
90,2,10,0.21297736802195905,31648,27743,7434,147,104253
90,1,10,0.201086926514845,30133,28156,7434,149,104253
100,1,10,0.21067406120964338,30329,28156,7434,139,104253
100,2,10,0.21416197570420514,32314,27743,7434,130,104253
150,1,10,0.20380269650391503,32444,28156,7434,104,104253
150,2,10,0.2019001166855252,34636,27103,6794,102,104253
60,35,2,0.28972154821186724,33455,31645,10858,143,104253
200,1,10,0.19808454495475677,32230,31264,7434,84,104253
200,2,10,0.19240104414134176,34312,29890,6794,84,104253
250,1,10,0.18522119749369764,34957,31264,7434,71,104253
250,2,10,0.1736896942684864,37220,29890,6794,70,104253
70,35,2,0.1836783271286392,32979,32950,10858,132,104253
300,1,10,0.15613288059045127,37457,30644,6814,62,104253
300,2,10,0.16156462754228526,39237,29890,6794,61,104253
80,35,2,0.1977590271789848,32572,34226,10858,121,104253
350,2,10,0.1521573823097301,39911,29890,6794,57,104253
350,1,10,0.14814038706972252,38476,30644,6814,57,104253
400,2,10,0.1747569995524887,39765,31890,7434,50,104253
400,1,10,0.15829917168353907,37940,32641,7434,51,104253
450,2,10,0.16256864216129893,41048,31890,7434,47,104253
450,1,10,0.15045708800520713,39200,32641,7434,48,104253
500,1,10,0.12786018616831968,40798,33891,7434,41,104253
500,2,10,0.15886608112866318,42640,33057,7434,40,104253
50,7,10,0.3033864132278017,38978,19924,4095,211,104253
50,4,10,0.2278720625720329,38595,18686,3432,228,104253
50,3,10,0.2524272529002428,36707,20208,3420,227,104253
50,6,10,0.24743540813653858,34347,27074,7431,196,104253
50,5,10,0.25018817480114197,37146,24479,7432,212,104253
60,7,10,0.30254271169688157,39682,19993,4095,179,104253
60,4,10,0.2311242838454559,36771,21837,4348,186,104253
60,3,10,0.2386193963253342,35413,24983,7433,186,104253
60,6,10,0.28526442577692646,34862,27550,7431,167,104253
60,5,10,0.22746195698920157,35149,27341,7432,166,104253
70,7,10,0.30161481026143677,39618,20116,4201,165,104253
70,4,10,0.23495806585635584,34442,26594,7433,159,104253
70,3,10,0.24362712005545262,34293,26050,7433,167,104253
70,6,10,0.24758640153177736,36339,26277,7431,158,104253
70,5,10,0.2182035204351983,35026,27871,7432,155,104253
80,7,10,0.3218789544042775,36100,26343,7431,137,104253
80,4,10,0.24219976429086698,34894,26594,7433,144,104253
80,3,10,0.24752970854902426,34069,26528,7433,145,104253
80,6,10,0.25118741807560635,35807,26277,7431,141,104253
80,5,10,0.22888350679809483,34995,27871,7432,142,104253
90,7,10,0.28385640643467014,37322,25172,7431,131,104253
90,4,10,0.23695898636689444,34447,26948,7433,135,104253
90,3,10,0.24178668881905319,34148,26996,7433,137,104253
90,6,10,0.24735968560971716,36299,26394,7431,129,104253
100,7,10,0.27933849642184544,37979,25172,7431,124,104253
90,5,10,0.2222457446902249,34997,27878,7432,128,104253
