,26.0,54.0,52.0,32.0,14.0,35.0,16.0,11.0,53.0,36.0,4.0,28.0,45.0,46.0,21.0,19.0,49.0,22.0,56.0,5.0,31.0,40.0,1.0,2.0,25.0,44.0,9.0,20.0,29.0,12.0,47.0,17.0,39.0,55.0,13.0,6.0,7.0,24.0,15.0,23.0,50.0,38.0,41.0,48.0,33.0,34.0,37.0,0.0,18.0,3.0,42.0,51.0,27.0,43.0,30.0,8.0,10.0
0,cuñadismo,sanchezveteya,defensa,casado,moncloa,segovia,sanchezveteya,ascousasclaras,fernandosimón,fitur2020,motivosparalamoción,paro,1demayo,lacafetera,fuertesyunidos,8m2020,hoy,huesca,abalosdimisión,galiciaémoito,málaga,sanchezveteya,no,alopresidente,galiciaesverde,voxextremanecesidad,euskadi,estadodeabuso,asíno,energía,sesiondeinvestidura,vitoria,sanidadpública,debateinvestidura,holocausto,brexit,preguntasparlamentarias,españaquieretrabajar,llotjademar,ilovehemeroteca,sanchezveteya,sectorprimario,coronavirusarv,salariomínimo,faselibertad,leydeeducación,arévalo,porlanaturaleza,saldremos,españasiempre,ibex,sanchezmiente,ibiza,zaldibar,delcygate,baleares,psicópatas
1,equiparacionya,asino,mordaza,asino,canarias,28f,gobiernogranhermano,heroesrurales,acuamed,felizlunes,aprendemosencasa,barcelona,caravanagobiernodimision,lanochedeavilatecuida,plenodelcongreso,porespaña,uefa,violenciadegenero,ábalosdimisión,libertad,quenadiesequedeatrás,sanchez,ganaderos,bulo,españapuede,ciencia,equipoarrimadas,theyoungpope,transparencia,pedrosanchez,acuerdosocial,twitterresponde,gobiernodimision,smi,informesemanal,lawfare,gruposocialonce,euco,bastaya,rafaelortiz,recitalporlamemoria,marruecos,comisióndesanidad,cultura,iftasarte,triplebajadadeimpuestos,hospitalalbacete,pageábreloya,pymes,lgtbi,maduro,falcón,díamundialenfermedadesraras,robles,abalos,irak,trump
2,abalosgate,gobiernogranhermano,españoles,activemosespaña,aplausosectorterciario,plenocongreso,lugo,ods,financiación,twitterresponde,twitterresponde,asino,granada,xacobeo21,democraciaparticipativa,albacete,feminismo,gandia,nissan,horadelplaneta,caravanafaselibertad,funcionariosdeprisiones,pactosdelareconstrucción,gobiernogranhermano,g20,unidaspodemos,aragón,wallsreet,alópresidente,diamundialcontraelcáncer,ingresomínimovital,agricultores,gravisimo,fmi,díamundialdelasalud,teletrabajando,executiveforumespaña,unidosyadelante,solosíessí,alarcóncriado,referentesgalegas,díainternacionaldelamujer,alicante,sectarismo,empleo,industria,alcorcón,yohagoporti,distanciasocial,hilo,abalosdimisión,helicóptero,venezuela,comisiondeinterior,puertadelsol,jornadascovap2020,salvini
3,campanillas,activemosespaña,ministeriodelaverdad,gobiernofake,fed,marlaskadimision,plenocongreso,objetivoabalos,ilegal,zaragoza,confinamiento,valladolid,caravana23m,ábalos,funcionariosdeprisiones,plenocongreso,díamundialcontraelcáncer,covid__19,diamundialsindromedown,salvavidas,cambioclimatico,sesióndeinvestidura,l6ncoronalucha,ilpjusapol,sosautónomos,twitterresponde,referendum,sanchismo,conciliación,aplausossanitario,sisepuede,52devox,ebola,bigbrother,todos,yomequedoencasatrabajandooestudiando,desayunobaleares,clm,españaexiste,retodemográfico,ddhh,altoriesgo,frenarlacurva,gijón,felizjueves,feministas,eeuu,nacional,opinión,conclusiones,asturias,davos,díadeandalucía,juntalocal,juanguaido,gloria,abascal
4,pagedimision,niunamenos,euskadi,políticaútil,ilovetwitter,nutriescore,voxextremanecesidad,eres,psoeres,gobiernocriminal,gobiernogranhermano,premiosfsg2019,torrespaña,economía,niunamenos,funcionariosdeprisiones,cáncer,faselibertad,gobiernodelamentira,casado,mujerporencimadetodo,plenocongreso,estadodealarmacuestiondeestado,barcelona,mateyelaporte,diainternacionaldelamujer,trata,running,tarragona,pinocho,saharaoccidental,sosautónomos,andalucía,tamallazo,justicia,abalosdimisión,opas,felizdíadelpadre,167traidores,solemneapertura,mobileworldcongress2020,11m,quedateentucasa,videoconferencia,díainternacional,agricultura,narcotráfico,fairplay,otgala1,feministasliberales,feve,clima,juntossaldremosadelante,portugalete,plenosenado,mediterráneo,johnson
5,xivlegislatura,faselibertad,podemos,sáhara,coronaciao,soria,activemosespaña,balonmano,palencia,escudosocial,covid__19,funcionariosdeprisiones,nosunelalibertad,xeraco,agrarias,nadiesequedaatrás,díamujeryniñaenciencia,gregorioordoñez25años,11m,murcia,díamundialdelaradio,covid__19,elbalance,empleo,coronavid19,cuenca,funcionariosdeprisiones,bandemola,goyas2020,villanuevadecórdoba,investiduradelavergüenza,pib,gestossolidarios,tejerazo,marlaskadimision,covi19,diainternacionaldelamujer,lugo,sesioncontrol,14legislatura,psoealaderiva,ferraz,payuelos,premios,ddhh,laalternativa,cuidarla,lascosasdelaultraderecha,responsabilidad,felizjueves,daimiel,sostenibilidad,diainternacionaldelaeducacion,abalosdimisión,sanitarios,españaviva,sahara
6,coronavirusesp,turismo,wallstreet,theyoungpope,guaidóenmadrid,zamora,ourense,puertollano,otgala5,bildueseta,comparecencia,autozascas,lucha,23f,faselibertad,diainternacionaldelamujer,codvid19,tremendo,unsíparaavanzar,dgt,investiduradelavergüenza,activemosespaña,carlossainzpremioprincesa,epa,renta,zaragoza,interparlamentariapp,caracazo,asturias,pozuelodecalatrava,infraestructuras,arrozalhorno,cuidadospaliativos,lawfare,valladolid,iglesias,inmemoriamxx,covid19esp,carmenolmedo,castillayleón,toledo,plandeactuación,coronavid19,lolapuntes,tedh,washington,mimarla,vetoparental,granadanevada,laika,salvemoslastablas,inclusión,fes,objetivoábalos,fakenews,noteríasqueespeor,familia
7,constitucion,agricultura,8marzo,superheroesdelbarrio,consejodeministros,copadelareina,xivlegislatura,compromís,prohibidodespedir,debateobjetivoigualdad,turismo,laespañasolidaria,solidaridad,alarma,lonuestroprimero,sesióndeinvestidura,15m,corrupciónpsoe,vivienda,activemosespaña,cgpj,lonuestroprimero,4febrero,borrascagloria,stopbulos,asino,agendagalicia,covid19eeuu,talavera,alcazardesanjuan,gasto,claracampoamor,intermunicipal,sanchez,pepp,cáncer,11m,democracia,cariporfinsomoscasta,unsiparaavanzar,laespañasolidaria,gobiernodeespaña,igualdadsalarial,elche,fronterasur,feminista,vivir,eltrizquierditosuma,valladolid,luna,leonsp,plazadignidad,caféluisplanas,abc,twitterresponde,gracias,sesiondeinvestura
8,casadoenrtve,twitterresponde,diainternacionaldelamujer,covid19esp,juegaterapia,futfem,unidaspodemos,noria,díameteorológicomundial,holocausto,agricultores,comisiondeseguimiento,entrega,competitividad,voxextremanecesidad,fitur,nuncamáis,toledo,graciaspapá,elingresomásdigno,gobiernofake,mociónseptiembre,sanchezvendeespana,gracias,ardales,fed,diadelamujer,yaencasa,julianassange,yasítodo,inversión,díaeuropeodelasaludsexual,daimiel,interparlamentariapp,pge,nivelazo,theparty,elfinaldeeta,11marzo,emergenciaclimática,marcaespaña,compromiso,pingüinos2020,cumfraude,pinparenteral,telesánchez,respeto,diputaciónpermanente,democraciaparticipativa,ruralizate,11m,cacerolas,económico,transportistas,confinamiento,stasidigital,atocha
9,niunamás,educación,coparey2020,cloacasdeinterior,congresonáutico,comitédeseguimiento,unidad,comunitat,feroz2020,cloroquina,agricultura,empleo,bolivia,memoriahistórica,españadigital2025,objetivoabalos,españaexisfe,talavera,gracias,diamundialdelmedioambiente,ábalosdimisión,bolivia,cercanías,faselibertad,intermunicipalpp,fiturfestivales,migraciones,santiagodimisión,premiosodeon,santandercyle20,datos,diamujeryninaenciencia,11m,agendagalicia,fitur,corredormediterráneo,thegoodplacefinale,voxvotoútil,pedrosánchezpresidente,leyberlusconi,losautónomos,agilidad,pedrosánchezpresidente,manualdemarionetas,volveremosaviajar,antonioscurati,tierra,héroes,leyeutanasia,sanchezvendeespana,votarésí,ellasinnovan,sesiondeinvestura,camioneros,diadellibro,felizjueves,consejomunicipal
