,26.0,54.0,52.0,32.0,14.0,35.0,16.0,11.0,53.0,36.0,4.0,28.0,45.0,46.0,21.0,19.0,49.0,22.0,56.0,5.0,31.0,40.0,1.0,2.0,25.0,44.0,9.0,20.0,29.0,12.0,47.0,17.0,39.0,55.0,13.0,6.0,7.0,24.0,15.0,23.0,50.0,38.0,41.0,48.0,33.0,34.0,37.0,0.0,18.0,3.0,42.0,51.0,27.0,43.0,30.0,8.0,10.0
0,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19,covid19
1,psoe,españa,marlaska,estevirusloparamosunidos,leonesp,estevirusloparamosunidos,leonesp,madrid,estevirusloparamosunidos,violenciadegénero,castillayleon,estevirusloparamosunidos,violenciadegénero,autónomos,españa,españa,hoy,marlaska,pleno,pleno,marlaska,leonesp,estadodealarma,leonesp,estevirusloparamosunidos,españa,españa,estadodealarma,estevirusloparamosunidos,pleno,españa,españa,marlaska,congreso,españa,españa,estevirusloparamosunidos,pleno,leonesp,pleno,investidura,leonesp,españa,igualdad,leonesp,pleno,españa,8m,leonesp,leonesp,sánchez,leonesp,eutanasia,estevirusloparamosunidos,estevirusloparamosunidos,leonesp,sevilla
2,gobierno,leonesp,madrid,cmin,españa,8m,españa,españa,rutaterritorialpp,fitur2020,españa,ue,leonesp,leonesp,leonesp,leonesp,yoapoyoalgobierno,leonesp,marlaska,españa,españa,estevirusloparamosunidos,gobiernoprogresista,8m,pleno,pedrosánchez,leonesp,quenadiesequedeatras,burgos,estevirusloparamosunidos,pleno,marlaska,españa,estevirusloparamosunidos,estevirusloparamosunidos,ahoratocalucharjuntos,europa,españa,españa,ilovehemeroteca,violenciadegénero,marlaska,coronavirusarv,salariomínimo,violenciadegénero,cmin,arévalo,ue,sanidad,estadodealarma,república,sanchezmiente,violenciadegénero,cambioclimático,españa,castillayleon,mocionseptiembre
3,estevirusloparamosunidos,estevirusloparamosunidos,estevirusloparamosunidos,leonesp,los52devox,españa,estevirusloparamosunidos,estevirusloparamosunidos,fernandosimón,estevirusloparamosunidos,pleno,paro,1demayo,lacafetera,marlaska,estevirusloparamosunidos,vigo,españa,8m,leonesp,8m,marlaska,españa,estevirusloparamosunidos,leonesp,leonesp,cmin,españa,quedateencasa,leonesp,sesiondeinvestidura,estevirusloparamosunidos,protejamosespaña,violenciadegénero,violenciadegénero,pleno,preguntasparlamentarias,galicia,llotjademar,investidura,castillayleon,ciudadreal,comisióndesanidad,madrid,marlaska,leydeeducación,mujeres,porlanaturaleza,saldremos,los52devox,sevilla,violenciadegénero,ibiza,zaldibar,cantabria,eutanasia,psicópatas
4,gobiernodelbulo,pleno,leonesp,españa,valencia,segovia,pleno,congreso,sevilla,8m,eutanasia,congresodelosdiputados,caravanagobiernodimision,lanochedeavilatecuida,europa,pleno,mocionseptiembre,pleno,violenciadegénero,congreso,psoe,españa,no,congreso,españa,estevirusloparamosunidos,8m,gobierno,asíno,igualdad,estevirusloparamosunidos,leonesp,pleno,marlaska,marlaska,sesiondecontrol,gruposocialonce,leonesp,república,rafaelortiz,ue,sectorprimario,pleno,socialistas,pp,triplebajadadeimpuestos,galicia,pageábreloya,pymes,españasiempre,burgos,sánchez,8m,ávila,delcygate,estevirusloparamosunidos,trump
5,cuñadismo,marlaska,estadodealarma,pleno,moncloa,sánchez,gobiernodelbulo,ascousasclaras,acuamed,pleno,agendadiputada,leonesp,españa,ávila,pinparental,estadodealarma,uefa,los52devox,estevirusloparamosunidos,marlaska,málaga,gobiernodelbulo,ganaderos,alopresidente,pedrosánchez,gobiernodelbulo,estevirusloparamosunidos,goya2020,madrid,violenciadegénero,acuerdosocial,eutanasia,castillayleon,gobiernoprogresista,burgos,estadodealarma,aplausosanitario,sesióndecontrol,bastaya,alarcóncriado,leonesp,quédateencasa,alicante,cultura,psoe,industria,estadodealarma,congresodelosdiputados,autónomos,ahoratocalucharjuntos,marlaska,falcón,díamundialenfermedadesraras,robles,abalos,ahoratocalucharjuntos,salvini
6,equiparacionya,ahoratocalucharjuntos,cmin,violenciadegénero,pleno,28f,violenciadegénero,pinabascal,financiación,cmin,motivosparalamoción,8m,granada,xacobeo21,8m,ingresominimovital,santander,yoapoyoalgobierno,gobiernodelbulo,ahoratocalucharjuntos,yomequedoencasa,sánchez,estevirusloparamosunidos,ahoratocalucharjuntos,yoapoyoalgobierno,8m,igualdad,valencia,violenciadegénero,energía,ingresominimovital,estadodealarma,sanidadpública,vigo,gobiernodelbulo,estevirusloparamosunidos,ciudadreal,españaquieretrabajar,cmin,retodemográfico,españa,marruecos,frenarlacurva,sectarismo,yomequedoencasa,quedateencasa,pinabascal,yohagoporti,quenadiesequedeatras,lgtbi,ingresominimovital,helicóptero,venezuela,vox,quedateencasa,españa,abascal
7,abalosgate,8m,rutaterritorialpp,vox,sesiondecontrol,yoapoyoalgobierno,cantabria,heroesrurales,ilegal,autónomos,8m,españa,estevirusloparamosunidos,ábalos,estevirusloparamosunidos,gobiernodelbulo,feminismo,huesca,psoe,8m,estevirusloparamosunidos,psoe,ahoratocalucharjuntos,pp,pp,violenciadegénero,violenciadegénero,estevirusloparamosunidos,transparencia,pedrosanchez,ingresomínimovital,pleno,violenciadegénero,leonesp,ingresominimovital,brexit,quédateencasa,euco,solosíessí,solemneapertura,abalosdimision,gobierno,quedateentucasa,gijón,estevirusloparamosunidos,madrid,hospitalalbacete,nacional,distanciasocial,hilo,mocionseptiembre,santander,benidorm,comisiondeinterior,puertadelsol,goya2020,johnson
8,campanillas,violenciadegénero,españa,gobiernodelbulo,agendadiputada,agendadiputada,cmin,ods,psoeres,santander,cantabria,marlaska,caravana23m,galicia,fuertesyunidos,8m2020,8m,violenciadegenero,españa,pinparental,quenadiesequedeatrás,violenciadegénero,pactosdelareconstrucción,españa,covid,santander,burgos,leonesp,españa,gobiernodelbulo,violenciamachista,gobiernodelbulo,ahoratocalucharjuntos,cmin,pleno,sesióndecontrol,investidura,unidosyadelante,protejamosespaña,14legislatura,estevirusloparamosunidos,díainternacionaldelamujer,socialistas,videoconferencia,ahoratocalucharjuntos,feministas,alcorcón,fairplay,opinión,conclusiones,motivosparalamocion,167valientes,aplausosanitario,abalosdimision,juanguaido,investidura,violenciadegénero
9,pagedimision,gobiernodelbulo,defensa,cantabria,motivosparalamocion,ahoratocalucharjuntos,psoe,abalosdimision,psoe,yoapoyoalgobierno,psoe,covid,cambioclimático,economía,cmin,benidorm,sanidad,gandia,leonesp,castillayleon,caravanafaselibertad,cmin,l6ncoronalucha,bulo,castillayleon,los52devox,pleno,estadodeabuso,pleno,diamundialcontraelcáncer,sisepuede,vitoria,gobiernodimision,vox,violenciamachista,leonesp,quedateencasa,clm,españaexiste,cmin,mujeres,altoriesgo,8m,8m,gobiernodelbulo,violenciadegénero,167valientes,mujeres,investidura,feministasliberales,ibex,davos,díadeandalucía,juntalocal,sesióndecontrol,valencia,violenciamachista
