,26.0,54.0,52.0,32.0,14.0,35.0,16.0,11.0,53.0,36.0,4.0,28.0,45.0,46.0,21.0,19.0,49.0,22.0,56.0,5.0,31.0,40.0,1.0,2.0,25.0,44.0,9.0,20.0,29.0,12.0,47.0,17.0,39.0,55.0,13.0,6.0,7.0,24.0,15.0,23.0,50.0,38.0,41.0,48.0,33.0,34.0,37.0,0.0,18.0,3.0,42.0,51.0,27.0,43.0,30.0,8.0,10.0
0,satanas,cohecho,miente,participantes,escanos,burros,acento,botando,cede,ciencia,pierdan,favor,pagada,nada,chavez,victoria,cien,maravilla,manana,ultras,ayudita,avila,recaredo,preciosidad,escribo,improvisacion,rubber,unidos,europa,rebajas,timo,prostitucion,hora,bye,unidas,apoyare,meterse,digo,apoyar,retorica,controlado,menos,uno,eres,vuelo,muchas,corrupto,hablo,enguany,liquidez,amiguetes,fin,portada,listas,bobadas,lonuestroprimero,mundo
1,camisa,ecologetas,dana,maltratada,abalos,impresionante,locura,plan,desastre,mueve,color,pinparental,menciono,olvide,uy,mochila,siempre,directo,merendabas,alucinan,ejercicio,estudien,exigiremos,respondo,proponemos,sabias,ay,carece,permiten,desconocido,estampita,troll,campana,tildes,bragas,gobierne,suena,mujeres,bandera,ni,callas,ganar,deslegitimar,vida,cuidamos,equivocada,money,queda,salva,vulnerables,golpe,bares,existido,hundimiento,tu,defendiendo,lledoners
2,comprar,destituciones,perdieron,caja,considera,buenisimo,profesio,negaron,tramo,explicarlo,come,haces,albedrio,venido,vale,infectados,sale,pillas,planteo,valer,consumo,preguntais,alcalde,evidentemente,puente,romper,llevo,entendido,corazones,gastos,culpa,experta,vayanse,ei,analfabetos,autopercepcion,levanta,infancia,critica,cobrarle,podia,preguntas,diablo,aportaciones,serio,perez,anuncio,pais,hacienda,ceuta,dominar,carino,rufian,estanteria,pruebas,arrierito,hombre
3,exito,echame,esperamos,mierda,gasto,saben,referia,jamon,calida,ricas,aguantar,emocionant,reciente,preguntaba,cuna,contradice,epidemiologos,destruir,torrija,supuesto,peor,contad,encarnacion,bajo,dices,frotas,caravanagobiernodimision,via,giro,encierro,fijas,blanqueo,desprestigiar,dano,tonto,estabilidad,comentar,suministro,fanatismo,democratica,reproches,regatear,valientes,festivos,piedra,cobos,salmo,dar,santiago,doble,mujer,atresmediacensura,controvertido,despacho,hice,extranjeros,joder
4,importa,rutilante,definido,witiza,puede,problema,diadelatierra,consolidemos,acogida,carcajadas,cinco,comunicacion,resucito,estudiantes,defiendo,lios,pre,demayo,impronunciable,recuperar,resumir,respetan,catalunya,guardiacivil,confianza,dijimos,intocables,brillante,stasi,santander,veritat,bingo,anado,iniciativas,mordaza,sintesis,bilbao,deficit,x,encuestas,gobiernodimision,tema,nombre,progresa,asusta,vosotros,euskadi,gol,compromiso,manifestantes,manipulado,paraiso,tocais,espanoles,tiempo,avion,tiempos
5,salvar,feminisme,penultima,improvisaciones,sumo,bravo,culturales,impecable,normal,presuntos,continuacion,dejalo,milagrosamente,vendieron,ricardo,tocan,salida,agradezco,recortaron,progreso,capitan,cacerolas,margen,transformando,web,celebramos,hermana,sesiondecontrol,expertos,mayo,incomprensible,sacrificios,version,bulo,certero,propuesta,une,donde,angel,reales,okupas,iniciarse,ficcion,cdr,tenim,quedateencasa,comparecencias,anosdeuna,pactos,prioridades,quereis,perder,ponen,doctora,mil,contestado,dificiles
6,prisiones,mandeis,soledad,gensanta,militarizacion,pagado,mestre,enmiendas,reyes,golazo,irrelevancia,diras,senoria,don,cerrojazo,terrierrs,contigo,risita,oculta,cafeterias,incompetencia,comunismos,esperemos,codo,hipocresia,hiciste,humillacion,peligrosos,desdelaatalaya,devaluar,sr,ola,rio,constitucional,club,hable,guardamelo,parados,cuentas,guerra,campos,excepcionales,pasa,amancio,fals,despotismo,erre,verdad,torra,guapa,colaborar,largo,huevo,nuevas,batallas,ellos,segun
7,censuran,oeeeeeeeee,indultos,ps,crispa,asturias,gibraltarespanol,supongo,gracias,ole,caido,prestidigitador,libre,lealtad,dale,mintieron,apunten,reglamento,borro,votos,malversacion,bonita,lectura,recuerdenlo,sospechosa,refiero,pensando,dicho,interes,precipitemos,respalda,soportan,rato,fase,juntos,investidura,nosotros,test,usted,sea,chandal,socios,agresiones,huesitos,verbal,chuleria,andalucia,jurado,madrilena,aplauso,viera,senoritos,hare,animales,pongamos,gato,venga
8,magnifico,tontos,dialogo,fenomeno,mayusculas,doy,premiados,ensayo,soy,ames,teruel,oximoron,motivosparalamocion,modo,vengan,sobrados,dani,bloquea,arte,creer,suenos,panfleto,ercizacion,gravedad,tia,conoces,ambiente,mejorcito,tranquilo,espiral,mienta,ja,redondo,inaki,be,rectificacion,acuerdo,reforma,lado,oposicion,preside,apoyando,fallar,bons,comentario,dignidad,trabaja,diga,fiscalia,exageramos,ganas,anti,tasa,alternativa,echamos,aplaudiendo,escuchar
9,salarial,chascarrillo,creyo,aplaudido,gano,olemos,esradio,kiwi,criticar,aniversario,parchis,cero,guapos,repartieron,cancion,equiparacionsalarial,compartirlas,bajemos,rectificar,ladron,altura,liando,ejemplar,votamos,lastre,barbas,mentiroso,rajoy,ganamos,ta,aburra,ultra,luto,region,espabilando,entonces,viviendas,unidosyadelante,sociedad,bloqueada,favelas,fisico,guardia,haga,consecuencia,metro,ultra,huele,depende,concepto,disfrute,acentuar,marbella,otras,medico,preferido,palabra
10,turistas,onate,trato,sierra,idea,transferencias,fraternal,crecer,illa,alineados,fumar,buenismo,pelo,polonia,engancharme,protejamos,companeras,pregunto,individual,sanchezsaldelamoncloa,segovia,coliflor,papa,llevado,pib,toma,hungaros,llevan,infante,aliado,normalidad,ti,voz,tercera,apunto,emocionado,honra,sitio,golpista,lastra,fasearcoiris,hijos,civil,persona,sabemos,mires,muertos,dinamarca,heroes,vi,intxaurrondo,leido,cuentan,adorables,hospital,caiga,retroceder
