,26.0,54.0,52.0,32.0,14.0,35.0,16.0,11.0,53.0,36.0,4.0,28.0,45.0,46.0,21.0,19.0,49.0,22.0,56.0,5.0,31.0,40.0,1.0,2.0,25.0,44.0,9.0,20.0,29.0,12.0,47.0,17.0,39.0,55.0,13.0,6.0,7.0,24.0,15.0,23.0,50.0,38.0,41.0,48.0,33.0,34.0,37.0,0.0,18.0,3.0,42.0,51.0,27.0,43.0,30.0,8.0,10.0
0,satanas,cohecho,miente,toc,escanos,burros,acento,botando,cede,ea,pierdan,favor,pagada,nada,chavez,victoria,cien,maravilla,manana,ultras,ayudita,avila,recaredo,preciosidad,escribo,improvisacion,rubber,unidos,europa,rebajas,unidad,prostitucion,orgulloso,bye,unidas,apoyare,meterse,digo,apoyar,fake,controlado,menos,uno,eres,vuelo,muchas,corrupto,lapsus,enguany,liquidez,amiguetes,fin,portada,listas,bobadas,lonuestroprimero,mundo
1,camisa,ecologetas,dana,participantes,abalos,impresionante,locura,plan,desastre,ciencia,color,pinparental,menciono,olvide,uy,toc,siempre,directo,orgulloso,cesar,ejercicio,estudien,orgulloso,respondo,proponemos,sabias,ay,carece,permiten,desconocido,timo,troll,hora,tildes,bragas,gobierne,suena,mujeres,bandera,retorica,callas,ganar,pilar,vida,cuidamos,equivocada,money,hablo,viva,valor,viva,bares,existido,hundimiento,detalles,defendiendo,lledoners
2,comprar,destituciones,perdieron,interior,considera,buenisimo,profesio,negaron,tramo,mueve,come,haces,albedrio,venido,vale,odian,sale,pillas,bla,alucinan,consumo,pasito,exigiremos,evidentemente,puente,romper,llevo,entendido,corazones,gastos,estampita,experta,campana,interior,analfabetos,autopercepcion,levanta,bla,critica,ni,podia,preguntas,deslegitimar,aportaciones,serio,perez,anuncio,queda,salva,vulnerables,golpe,condenado,rufian,estanteria,tu,arrierito,hombre
3,exito,ea,esperamos,maltratada,gasto,saben,referia,jamon,calida,explicarlo,aguantar,emocionant,reciente,preguntaba,cuna,mochila,epidemiologos,destruir,merendabas,valer,peor,preguntais,alcalde,bajo,dices,frotas,caravanagobiernodimision,via,giro,encierro,culpa,blanqueo,vayanse,ei,tonto,estabilidad,comentar,infancia,fanatismo,cobrarle,reproches,regatear,diablo,festivos,piedra,cobos,unidad,pais,hacienda,ceuta,dominar,carino,controvertido,despacho,pruebas,extranjeros,joder
4,importa,echame,definido,caja,saludo,cesar,diadelatierra,consolidemos,acogida,ricas,cinco,comunicacion,resucito,estudiantes,defiendo,infectados,orgullo,demayo,planteo,supuesto,resumir,contad,encarnacion,guardiacivil,confianza,dijimos,lobby,brillante,stasi,vaya,fijas,bingo,saludo,dano,mordaza,sintesis,bilbao,suministro,x,democratica,gobiernodimision,tema,detalles,progresa,asusta,habia,salmo,dar,santiago,doble,mujer,atresmediacensura,tocais,mocionseptiembre,hice,avion,tiempos
5,lapsus,rutilante,punto,bla,puede,problema,culturales,impecable,normal,carcajadas,continuacion,dejalo,milagrosamente,vendieron,ricardo,contradice,pre,agradezco,torrija,recuperar,capitan,respetan,catalunya,transformando,web,celebramos,intocables,sesiondecontrol,expertos,santander,veritat,sacrificios,desprestigiar,editorial,certero,propuesta,une,deficit,angel,encuestas,okupas,iniciarse,valientes,cdr,musica,vosotros,euskadi,gol,compromiso,manifestantes,manipulado,paraiso,ponen,espanoles,tiempo,contestado,dificiles
6,salvar,feminisme,penultima,mierda,sumo,bravo,mestre,editorial,reyes,presuntos,irrelevancia,diras,senoria,don,cerrojazo,lios,salida,risita,impronunciable,progreso,incompetencia,cacerolas,margen,codo,hipocresia,hiciste,hermana,peligrosos,viva,bonito,incomprensible,ola,anado,iniciativas,club,hable,guardamelo,donde,cuentas,reales,viva,excepcionales,nombre,amancio,tenim,quedateencasa,comparecencias,anosdeuna,pactos,prioridades,quereis,perder,huevo,orgullo,mil,ellos,segun
7,prisiones,mandeis,soledad,witiza,militarizacion,pagado,gibraltarespanol,enmiendas,paro,golazo,caido,prestidigitador,libre,lealtad,dale,tocan,pasito,reglamento,recortaron,cafeterias,malversacion,comunismos,esperemos,recuerdenlo,sospechosa,refiero,humillacion,dicho,desdelaatalaya,musica,sr,odian,version,bulo,juntos,investidura,paro,parados,usted,guerra,condenado,socios,ficcion,huesitos,fals,despotismo,erre,verdad,torra,guapa,colaborar,largo,hare,doctora,batallas,gato,venga
8,censuran,oeeeeeeeee,indultos,improvisaciones,crispa,asturias,premiados,supongo,fake,ole,teruel,oximoron,motivosparalamocion,modo,pilar,terrierrs,contigo,bloquea,oculta,votos,suenos,bonita,lectura,gravedad,tia,conoces,pensando,mejorcito,interes,mayo,respalda,soportan,rio,punto,be,rectificacion,nosotros,test,lado,sea,campos,apoyando,pasa,bons,bonito,chuleria,andalucia,jurado,madrilena,aplauso,viera,senoritos,tasa,viva,pongamos,aplaudiendo,escuchar
9,magnifico,tontos,dialogo,gensanta,mayusculas,doy,esradio,ensayo,gracias,ames,parchis,cero,guapos,repartieron,vengan,mintieron,apunten,bajemos,borro,valor,altura,panfleto,ercizacion,votamos,lastre,barbas,ambiente,rajoy,habia,devaluar,mienta,ja,rato,constitucional,espabilando,lobby,saludo,reforma,sociedad,oposicion,chandal,fisico,agresiones,haga,mocionseptiembre,dignidad,trabaja,diga,vaya,exageramos,ganas,hablamos,marbella,nuevas,hablamos,preferido,palabra
