Full Name,Twitter name,Nbr of tweets
Víctor Sánchez del Real,sanchezdelreal,3273
Luis Gestoso,luisgestoso,2623
Francisco Jose Alcaraz Martos,fjosealcaraz,2028
Agustín Rosety Fernández de Castro,agustinrosety,1904
Guillermo Díaz Gómez,guillermodiazcs,1826
Dani Viondi,viondi,1688
Ana Vázquez Blanco,anadebande,1681
Francisco Jose Contreras Pelaez,fjconpe,1653
José Ramírez del Rio,joseramirezdel2,1642
Odón Elorza González,odonelorza2011,1481
Juan Antonio López de Uralde Garmendia,juralde,1474
Rosa Romero,rosaromerocr,1348
Pau Marí-Klose,pmklose,1314
Macarena Olona Choclán,macarena_olona,1303
Marta Martín Laguno,martamartirio,1207
Carmen Riolobos Regadera,carmenriolobos,1205
María Muñoz,mariadelamiel,1133
Marcos de Quinto Romero,marcosdequinto,1130
Ana Prieto Nieto,anaprietonieto,1118
Agustín Almodóbar Barceló,aalmodobar,1116
Ricardo Chamorro Delmo,rchamode,1066
Íñigo Errejón Galván,ierrejon,1055
Pablo Casado Blanco,pablocasado_,992
Iván Espinosa de los Monteros,ivanedlm,912
Ignacio Garriga Vaz de Concicao,igarrigavaz,910
Jon Iñarritu,joninarritu,888
Oskar Matute García de Jalón,oskarmatute,878
Maria Carvalho Dantas,_maria_dantas_,877
Alicia García Rodríguez,aliciagarcia_av,870
Pedro Casares,pedro_casares,846
Sofía Castañón,sofcastanon,802
Rubén Manso Olivar,rubenmansolivar,795
Carla Toscano de Balbin,eledhmel,775
Rodrigo Jimenez Revuelta,rodrijr111,767
José Zaragoza,j_zaragoza_,762
Rocío De Meer Méndez,meerrocio,744
Margalida Prohens Rigo,margaprohens,737
Pedro Sánchez,sanchezcastejon,700
Emilio Jesus del Valle Rodriguez,edelvallerod,691
Javier Alfonso Cendón,alfonsocendon,684
Cesar Joaquin Ramos Esteban,cesarjramos,673
José Ignacio Echániz Salgado,jiechaniz,669
Victor Píriz Maya,vicpiriz1975,660
Pilar Marcos,pilarmarcosd,659
Pere Joan Pons Sampietro,perejoanpons,654
Fuensanta Lima Cid,fuensantalima,641
Zaida Cantera,zaidacantera,634
Santiago Abascal,santi_abascal,630
Pilar Cancela,pilicancela,629
Yolanda Díaz,yolanda_diaz_,619
Meritxell Batet Lamaña,meritxell_batet,618
Jaime Eduardo de Olano Vela,jaimedeolano,611
Óscar Gamazo Micó,oscargamazo,609
Andrea Fernández Benéitez,afernb,608
Alejandro Soler Mur,alejandrosolerm,602
Victoria Rosell,vickyrosell,601
Andrés Lorite Lorite,andreslorite,596
Ana Pastor Julián,anapastorjulian,593
Lídia Guinart Moreno,lidiaguinart,593
María Mercè Perea Conillas,merceperea,591
Martina Velarde Gómez,martinavelardeg,590
Inés Arrimadas García,inesarrimadas,588
María Márquez Guerrero,maria_podemos,585
Magdalena Nevado ,malenanevado,578
Joaquín Robles López,joaquinrobles55,569
Pablo Cambronero,paucambronerocs,564
Reyes Romero,rromerovilches,564
Pedro Navarro,pedronavarrol,564
Antonio González Terol,aglezterol,523
Gerardo Pisarello Prados,g_pisarello,520
Carlos Fernandez Roca-Suárez,cfdezrocysua,514
Francisco Aranda Vargas,arandapaco,496
Beatriz Álvarez Fanjul,bea_fanjul,491
Pablo Sáez Alonso-Muñumer,pablosaezam,490
Eloy Suarez Lamata,eloysuarezl,487
Concepción Gamarra Ruiz-Clavijo,cucagamarra,482
Juan Francisco Serrano Martínez,jfrserrano,464
Marisol Sánchez Jódar,msolsj,449
María Gloria Elizo Serrano ,gloriaelizo,442
 Jesús Moro Almaraz,moromjesus,439
Joan Josep Nuet Pujals,nuet,437
Enrique Fernando Santiago Romero,ensanro,433
José Luis Ábalos,abalosmeco,427
Milagros Marcos Ortega,milamarcos,421
Jaume Asens Llodrà,jaumeasens,418
Eduardo Carazo Hermoso,educarazo,411
Teresa Jiménez-Becerril,teresajbecerril,410
Edmundo Bal Francés,baledmundo,403
Ignacio López Cano,nasholop,396
Albert Garzón Espinosa,agarzon,396
Teresa Ribera,teresaribera,395
Pedro Antonio Honrubia Hurtado,eselkaos,391
Teodoro García Egea,teogarciaegea,391
Pablo Montesinos Aguayo,montesinospablo,387
Joan Baldoví Roda,joanbaldovi,383
Juan Luis Soto Burillo,juanluissotoadd,380
Belén Hoyo Juliá,belenhoyo,375
María Ángeles Marra Domínguez,angelesmarra,362
José Luis Aceves Galindo,jlaceves,354
Patricia de las Heras,patriciadlheras,350
Victor González,vicpiedra,347
Edurne Uriarte Bengoechea,edurneuriarte,345
Sara Giménez,saragimnez,339
Mª Carmen Martínez Granados,mcmartinez_cs,332
Luis Planas Puchades,luisplanas,327
