Full Name,Twitter name,Nbr of tweets,Full Name,Twitter name,Nbr of tweets
Víctor Sánchez del Real,sanchezdelreal,3273,Sergio Sayas,sergiosayas,262
Luis Gestoso,luisgestoso,2623,Pilar Garrido Gutiérrez,gagupilar,259
Francisco Jose Alcaraz Martos,fjosealcaraz,2028,Mario Garcés Sanagustín,mariogarcessan,255
Agustín Rosety Fernández de Castro,agustinrosety,1904,Laura Borras,lauraborras,254
Guillermo Díaz Gómez,guillermodiazcs,1826,Juan Carlos Campo Moreno,jccampm,254
Dani Viondi,viondi,1688,Juan Antonio Callejas Cano,jacallejascano,249
Ana Vázquez Blanco,anadebande,1681,Pedro Duque Duque,astro_duque,246
Francisco Jose Contreras Pelaez,fjconpe,1653,Mertxe Aizpurua Arzallus,mertxeaizpurua,242
José Ramírez del Rio,joseramirezdel2,1642,Manuel Mestre Barea,mestremanuel,238
Odón Elorza González,odonelorza2011,1481,Vicente Betoret,vicentebetoret,234
Juan Antonio López de Uralde Garmendia,juralde,1474,Javier Sánchez Serna,j_sanchez_serna,228
Rosa Romero,rosaromerocr,1348,Roberto Uriarte,roberuriarte,220
Pau Marí-Klose,pmklose,1314,Vicente Tirado,vicentetiradopp,219
Macarena Olona Choclán,macarena_olona,1303,Paco Salazar,salazarropaco,217
Marta Martín Laguno,martamartirio,1207,Miguel Ángel Castellón Rubio,mcastellonpp,214
Carmen Riolobos Regadera,carmenriolobos,1205,Jose Manuel Franco,conjosemfranco,209
María Muñoz,mariadelamiel,1133,Georgina Trias Gil,georgina_vox,207
Marcos de Quinto Romero,marcosdequinto,1130,Francisco Polo,franciscopolo,206
Ana Prieto Nieto,anaprietonieto,1118,Patricia Rueda,_patricia_rueda,205
Agustín Almodóbar Barceló,aalmodobar,1116,Beatriz Micaela Carrillo de los Reyes,beamcarrillo,202
Ricardo Chamorro Delmo,rchamode,1066,Alfonso Rodríguez Gómez de Celis,gomezdcelis,200
Íñigo Errejón Galván,ierrejon,1055,María Guijarro,maritxu30,200
Pablo Casado Blanco,pablocasado_,992,Antón Gómez-Reino,antongomezreino,194
Iván Espinosa de los Monteros,ivanedlm,912,Manuel Mariscal Zabala,mariscalzabala,189
Ignacio Garriga Vaz de Concicao,igarrigavaz,910,Ione Belarra urteaga,ionebelarra,184
Jon Iñarritu,joninarritu,888,Juan José Aizcorbe Torra,juanjoaizcorbe,184
Oskar Matute García de Jalón,oskarmatute,878,Carmen Calvo Poyato,carmencalvo_,181
Maria Carvalho Dantas,_maria_dantas_,877,Miguel Ángel Paniagua Nuñez,mapaniagua,179
Alicia García Rodríguez,aliciagarcia_av,870,Esther Peña Camarero,estherpcamarero,177
Pedro Casares,pedro_casares,846,Marina Ortega,marina_ortega_,171
Sofía Castañón,sofcastanon,802,Germán Renau Martínez,germanrenau,170
Rubén Manso Olivar,rubenmansolivar,795,Guillermo Antonio Meijón Couselo,guillermomeijon,164
Carla Toscano de Balbin,eledhmel,775,Jaume Alonso-Cuevillas i Sayrol ,jacs_jaumeacs,164
Rodrigo Jimenez Revuelta,rodrijr111,767,Susana Ros,susana_ros,162
José Zaragoza,j_zaragoza_,762,José Ángel Alonso Pérez ,jangelvillalon,160
Rocío De Meer Méndez,meerrocio,744,Diego Gago Bugarín,diegogagob,154
Margalida Prohens Rigo,margaprohens,737,Esther Padilla Ruiz,estherpadillar,153
Pedro Sánchez,sanchezcastejon,700,Miguel González Caballero,migonzalezcaba,153
Emilio Jesus del Valle Rodriguez,edelvallerod,691,Teresa López Álvarez,teresagdvinuesa,153
Javier Alfonso Cendón,alfonsocendon,684,María del Mar García Puig,margpuig,152
Cesar Joaquin Ramos Esteban,cesarjramos,673,Adriana Lastra Fernández,adrilastra,152
José Ignacio Echániz Salgado,jiechaniz,669,Noemí Villagrasa Quero,nvillagrasa,146
Victor Píriz Maya,vicpiriz1975,660,Alberto Casero Ávila,albertocasero,141
Pilar Marcos,pilarmarcosd,659,Miquel Ángel Jerez Juan,miqueljerez,136
Pere Joan Pons Sampietro,perejoanpons,654,Antonia Jover Diaz,antonia_jover_,134
Fuensanta Lima Cid,fuensantalima,641,Lucía Miriam Muñoz Dalda,luciadalda,134
Zaida Cantera,zaidacantera,634,Isidro Manuel Martínez Oblanca ,imoblanca,132
Santiago Abascal,santi_abascal,630,Carlos Rojas García,carlosrojas_ppa,129
Pilar Cancela,pilicancela,629,Carmen Navarro Lacoba,cnlacoba,128
Yolanda Díaz,yolanda_diaz_,619,Sebastian Ledesma Ma,sebastianlede15,127
Meritxell Batet Lamaña,meritxell_batet,618,Marisa Saavedra Muñoz,marisasaavedram,124
Jaime Eduardo de Olano Vela,jaimedeolano,611,Noelia Vera,veranoelia,118
Óscar Gamazo Micó,oscargamazo,609,Luis Santamaria Ruiz,luisstamaria,116
Andrea Fernández Benéitez,afernb,608,Susana Sumelzo Jordán,ssumelzo,114
Alejandro Soler Mur,alejandrosolerm,602,Rafa Mayoral Perales,mayoralrafa,114
Victoria Rosell,vickyrosell,601,Jordi Salvador Duch,jsalvadorduch,113
Andrés Lorite Lorite,andreslorite,596,Mariana de Gracia Canales Duque,graciacanales3,113
Ana Pastor Julián,anapastorjulian,593,Paloma Gázquez,palomagazquez,113
Lídia Guinart Moreno,lidiaguinart,593,Montse Mínguez García,montseminguez,111
María Mercè Perea Conillas,merceperea,591,Héctor Gómez Hernández,hectorgomezh,106
Martina Velarde Gómez,martinavelardeg,590,Tomás Cabezón,tcabcas,106
Inés Arrimadas García,inesarrimadas,588,Lourdes Méndez Monasterio,lourdesmndezm1,105
María Márquez Guerrero,maria_podemos,585,patxilopez,patxilopez,104
Magdalena Nevado ,malenanevado,578,Maribel García López,belitagl,103
Joaquín Robles López,joaquinrobles55,569,Ana María Oramas González-Moro,anioramas,103
Pablo Cambronero,paucambronerocs,564,Pedro Quevedo Iturbe,pedroquevedoit,103
Reyes Romero,rromerovilches,564,Diego Movellan Lombilla,diegomovellan,97
Pedro Navarro,pedronavarrol,564,César Sánchez,sanchezcesar,96
Antonio González Terol,aglezterol,523,Rafi Crespin,rafi_crespin,96
Gerardo Pisarello Prados,g_pisarello,520,Javier Cerqueiro González,javiercerqueir4,96
Carlos Fernandez Roca-Suárez,cfdezrocysua,514,Rafa Lomana,rafalomana,94
Francisco Aranda Vargas,arandapaco,496,Ana Belén Fernández Casero,belenfcasero,93
Beatriz Álvarez Fanjul,bea_fanjul,491,Txema Guijarro,txemaguijarro,81
Pablo Sáez Alonso-Muñumer,pablosaezam,490,Pedro Fernández,pedro_fhz,80
Eloy Suarez Lamata,eloysuarezl,487,Felipe Jesus Sicilia Alférez,felipe_sicilia,78
Concepción Gamarra Ruiz-Clavijo,cucagamarra,482,Carmen Andrés Añón ,carmenandres_,77
Juan Francisco Serrano Martínez,jfrserrano,464,Patricia_Blanquer,patri_blanquer,75
Marisol Sánchez Jódar,msolsj,449,Eva Bravo Barco,evabravobarco,72
María Gloria Elizo Serrano ,gloriaelizo,442,Iñaki Ruiz de Pinedo,ruizdepinedo,67
 Jesús Moro Almaraz,moromjesus,439,Luisa Carcedo,luisacarcedo,64
Joan Josep Nuet Pujals,nuet,437,Aina Vidal Sáez,ainavs,63
Enrique Fernando Santiago Romero,ensanro,433,Carolina España Reina,carolinaespanar,61
José Luis Ábalos,abalosmeco,427,Roser Maestro,roser_maestro,60
Milagros Marcos Ortega,milamarcos,421,Eva Patricia Bueno Campanario,evapatriciab,57
Jaume Asens Llodrà,jaumeasens,418,Guillermo Mariscal Anaya,gmariscalanaya,57
Eduardo Carazo Hermoso,educarazo,411,Alberto Rodríguez Rodríguez,alber_canarias,56
Teresa Jiménez-Becerril,teresajbecerril,410,Joaquín García Díez,quin1954,55
Edmundo Bal Francés,baledmundo,403,José María Mazon,josemariamazon,52
Ignacio López Cano,nasholop,396,Míriam Nogueras i Camero,miriamnoguerasm,51
Albert Garzón Espinosa,agarzon,396,José Antonio Montilla Martos,montimar66,47
Teresa Ribera,teresaribera,395,Joan Margall Sastre,joanmargall,47
Pedro Antonio Honrubia Hurtado,eselkaos,391,Marta González Vázquez,martaglezvzqz,47
Teodoro García Egea,teogarciaegea,391,Magdalena Valerio Cordero,mvalerio_gu,46
Pablo Montesinos Aguayo,montesinospablo,387,Jesús Postigo,jspostigo,46
Joan Baldoví Roda,joanbaldovi,383,Sofía Hernanz Costa,hernanzsofia,45
Juan Luis Soto Burillo,juanluissotoadd,380,María Ruiz VOX,ruizsolas,45
Belén Hoyo Juliá,belenhoyo,375,Héctor Illueca Ballester,hector_illueca_,44
María Ángeles Marra Domínguez,angelesmarra,362,Sonia Ferrer Tesoro,soniafetesoro,41
José Luis Aceves Galindo,jlaceves,354,Inés Granollers,inesgranollers,41
Patricia de las Heras,patriciadlheras,350,Ferran Bel i Accensi,ferran_bel,39
Victor González,vicpiedra,347,Ismael Cortes Gómez,ismael_cortesg,39
Edurne Uriarte Bengoechea,edurneuriarte,345,Javier Bas Corugeira,javierbasco,38
Sara Giménez,saragimnez,339,Aitor Esteban bravo,aitor_esteban,37
Mª Carmen Martínez Granados,mcmartinez_cs,332,María de los Llanos de Luna Tobarra,llanosdeluna,34
Luis Planas Puchades,luisplanas,327,Maria Elivira Rodriguez Herrer,erodriguez_2019,33
Valentina Martinez,valentinam,327,Laura Lopez Domínguez,lauralopezd,32
Sergio Gutierrez,sergio_gp,323,Santos Cerdan Leon,santicl,31
Fernando Adolfo Gutiérrez Díaz de Otazu,otazu35,320,Pedro Saura,pedrosaurag,30
Elivira Ramon Utrabo,elviraramon,320,Óscar Clavell López,oscarclavell,30
Begoña Nasarre Oliva,begonasarre,318,Joan Capdevila i Esteve,capdevilajoan,27
José Javier Izquierdo Roncero,javizqui,316,Pablo Hispán Iglesias de Ussel,hispanpablo,27
Laura Berja Vega,lauraberja86,316,Sergi Miquel Valentí ,sergimiquel,26
Helena Caballero Gutiérrez,caballerohelena,312,Maria Jesus Montero Cuadrado,mjmonteroc,23
Reyes Maroto Illera,marotoreyes,312,Tamara Raya Rguez,tamarayar,21
María beatriz Corredor Sierra,beatrizcorredor,309,José Luis Steegmann Olmedillas,jlsteeg_doc,21
Isabel Franco Carmona,isabel_franco_,308,Xavier Eritja Ciuró,xavieritja,20
sol cruz guzman,solcruzguzman,307,Isabel María Borrego Cortés,borrego_corte,18
Beatriz J. Linuesa,bealinuesa,301,Albert Botran Pahissa,albertbotran,17
Gabriel Rufián Romero,gabrielrufian,299,Néstor Rego Candamil,nestorrego,15
Pablo Calvo Liste,pcalvoliste,296,María Ramallo,mariaramallov,15
José Alberto Herrero Bono ,herrerobono,295,Mariona Illamola Dausà,marionaid,15
Rafael Simancas,simancasrafael,291,Joan Ruiz i Carbonell,jruizcarbonell,15
Pablo Arangüena Fernández,pabloaranguena,291,Íñigo Barandiaran Benito,inibaran,13
Francisco Javier Ortega Smith,ortega_smith,290,Tristana Moraleja,tristanamg,13
M Luz Martínez Seijo,luzseijo,282,Celso Delgado Arce,celsodelgadoou,12
Ana María Zurita Expósito,anazurita7,281,José Carlos Durán Peralta,jcduran_,11
Javier Merino Martínez,javier_merino,279,Marta Rosique i Saltor,martarosiq,10
José Antonio Rodríguez Salas,joseantoniojun,272,Carolina Telechea Lozano,caroltelechea,8
Joan Mena Arca,joanmena,271,Ariagona González Pérez,ariagonagp,7
Valentín García,valentingarciag,269,Vicent Sarriá Morell,sarrimorell,7
Cayetana Alvarez de Toledo,cayetanaat,268,Mª de La O Redondo Calvillo,mdelaoredondo,7
Isabel Celaá Diéguez,celaaisabel,265,Pilar Vallugera#Donec Perficiam,pilarvallugera,7
Arnau Ramírez Carner,arnauramirez,264,José Miguel González Robles,josemiguel_glez,6
Roberto García Morís,morissiero,264,José Luis Ramos Rodríguez,josluisramosro2,4
Ana Beltrán Villalba,abeltran_ana,264,Pedro Jesús Requejo Novoa,mazureque,2
